,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cuero 72,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Saltwater Barrier,Seadrift,Class,Competitors,Team Captions,0,60,120,180,240,300,360,420,480,540,600,660,720,780,840,900,960,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1620,1680,1740,1800,1860,1920,1980,2040,2100,2160,2220,2280,2340,2400,2460,2520,2580,2640,2700,2760,2820,2880,2940,3000,3060,3120,3180,3240,3300,3360,3420,3480,3540,3600,3660,3720,3780,3840,3900,3960,4020,4080,4140,4200,4260,4320,4380,4440,4500,4560,4620,4680,4740,4800,4860,4920,4980,5040,5100,5160,5220,5280,5340,5400,5460,5520,5580,5640,5700,5760,5820,5880,5940,6000
0,1,Unlimited,"Andrew Condie
Clay Wyatt
Ian Rolls
Gaston Jones
Logan Mynar
Weston Willoughby

TC Jill Wyatt
TC Fred Mynar",2,0 days 02:09:45,0 days 05:17:00,0 days 08:10:00,0 days 11:45:00,0 days 16:52:00,0 days 21:27:00,0 days 22:29:00,1 days 04:12:00,1 days 09:05:00,1 days 12:06:00,1 days 16:53:00,Unlimited,['Andrew Condie\nClay Wyatt\nIan Rolls\nGaston Jones\nLogan Mynar\nWeston Willoughby\n\n'],['Jill Wyatt\nTC Fred Mynar'],-2.823763907144894e-07,7.84791783028586,15.695835942948111,23.320559701685404,30.90197709324322,38.48339448480104,45.75497924674322,52.904072038837356,60.053164830931486,67.22641194656013,74.40448992689568,81.58256790723124,88.77650278467638,96.01800835345037,103.25951392222436,110.50101949099833,117.74252505977232,124.9389709744051,131.84252913712007,138.746087299835,145.64964546254998,152.55320362526493,159.58064105942805,166.50952113947946,173.25138571862297,179.99325029776645,186.73511487690993,193.4769794560534,200.21884403519692,206.59708973803077,212.88443072178723,219.17177170554368,225.45911268930013,231.74645367305658,237.73825569872724,243.7031905463901,249.66812539405294,253.23719688366643,256.5400613334967,259.8429257833269,263.14579023315713,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
1,2,Unlimited,"Chris Issendorf
William Russell
Kyle Issendorf
Tim Rask
Tommy Yonley
Nick Walton

TC Wayne Thorp
TC Stephen Rask",314,0 days 02:10:30,0 days 05:16:00,0 days 08:10:00,0 days 11:47:00,0 days 17:03:00,0 days 21:46:00,0 days 22:48:00,1 days 04:54:00,1 days 09:46:00,1 days 13:02:00,1 days 18:30:00,Unlimited,['Chris Issendorf\nWilliam Russell\nKyle Issendorf\nTim Rask\nTommy Yonley\nNick Walton\n\n'],['Wayne Thorp\nTC Stephen Rask'],-2.823763907144894e-07,7.802814852626883,15.605629987630156,23.284798298895033,30.93773849603359,38.590678693172144,45.84400051714286,52.95200656905254,60.060012620962226,67.17128077927644,74.28320135887158,81.3951219384667,88.490432759834,95.5256929168391,102.5609530738442,109.5962132308493,116.63147338785441,123.66673354485951,130.39148089903233,137.0998854741087,143.80829004918508,150.51669462426145,157.32318987888604,164.28986353896912,170.60805903253802,176.9262545261069,183.2444500196758,189.56264551324472,195.8808410068136,202.1981042483683,208.50697722179515,214.815850195222,221.12472316864887,227.43359614207571,233.55570019244936,239.06413492421964,244.57256965598992,250.0810043877602,253.05829172596728,255.94829811956873,258.8383045131702,261.72831090677164,264.6183173003731,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
2,3,Unlimited,"Jason Cade
Shannon Issendorf
Virginia Parker
Dodd Yeager

TC Cecili Bugge
TC Kaitlin Mynar",3931,0 days 02:34:00,0 days 06:12:00,0 days 09:32:00,0 days 13:34:00,0 days 19:26:00,1 days 00:36:00,1 days 01:56:00,1 days 08:48:00,1 days 14:13:00,1 days 17:49:00,1 days 21:42:00,Unlimited,['Jason Cade\nShannon Issendorf\nVirginia Parker\nDodd Yeager\n\n'],['Cecili Bugge\nTC Kaitlin Mynar'],-2.823763907144894e-07,6.612125530077682,13.224251342531755,19.79299806215781,26.305018275778004,32.81703848939819,39.32905870301839,45.578634957871564,51.76260022303299,57.94656548819441,64.22071538179152,70.59793342217229,76.97515146255304,83.3523695029338,89.70294918840874,96.01869410208377,102.33443901575882,108.65018392943384,114.96592884310888,121.28167375678392,127.48883358611755,133.61295776271953,139.7370819393215,145.8612061159235,151.98533029252548,157.86973069101728,163.40040883356377,169.0131747331905,174.62594063281728,180.238706532444,185.85147243207075,191.4642383316975,197.07700423132422,202.70087289455833,208.36915261222182,214.03743232988535,219.70571204754884,225.37399176521237,231.04227148287586,236.18580776345203,241.1842022422806,246.1825967211092,251.01048032861277,255.07881550930497,259.14715068999715,263.2154858706893,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
3,4,"Solo Unlimited Man
1st Masters","Andrew McEwan

TC Ashley McEwan
TC Kobie Pierce",513,0 days 02:28:36,0 days 05:59:00,0 days 09:22:00,0 days 13:47:00,0 days 20:14:00,1 days 01:45:00,1 days 03:04:00,1 days 10:02:00,1 days 15:44:00,1 days 20:31:00,2 days 00:30:00,Solo Unlimited Man,['Andrew McEwan\n\n'],['Ashley McEwan\nTC Kobie Pierce'],-2.823763907144894e-07,6.852404664581396,13.704809611539183,20.502180998603077,27.249426276973807,33.996671555344534,40.733005689341134,46.82558230526372,52.918158921186304,59.01073553710889,64.93303860441519,70.75676224883837,76.58048589326155,82.40420953768474,88.21077965367914,93.95533316689261,99.69988668010608,105.44444019331955,111.18899370653301,116.93354721974649,122.67810073295996,128.4157780611863,134.15136263746007,139.88694721373383,145.6225317900076,151.35811636628137,157.05849207224023,162.65324116725438,168.18961099672217,173.7218108786509,179.25401076057966,184.78621064250842,190.31841052443716,195.85061040636592,201.38281028829465,206.77418930375256,212.1607124272632,217.54723555077388,222.93375867428452,228.32028179779516,233.2735608525294,237.03541871812865,240.79727658372786,244.55913444932708,248.3209923149263,252.1816161463183,256.1478173894199,260.1140186325215,264.0802198756231,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
4,5,Tandem Unlimited,"Brian Jones
Nate Tart

TC Dwight Tart
TC Travis Crow",3,0 days 02:32:08,0 days 06:22:00,0 days 09:48:00,0 days 14:15:00,0 days 21:01:00,1 days 02:57:00,1 days 04:16:00,1 days 11:48:00,1 days 18:24:00,1 days 22:45:00,2 days 03:46:00,Tandem Unlimited,['Brian Jones\nNate Tart\n\n'],['Dwight Tart\nTC Travis Crow'],-2.823763907144894e-07,6.693255908144603,13.386512098665596,19.839458531199302,26.01530136720221,32.19114420320512,38.36698703920803,44.433900934676636,50.43775070667802,56.4416004786794,62.40070034554803,68.18080059188564,73.96090083822325,79.74100108456088,85.52110133089849,91.07291618856715,96.5486359166795,102.02435564479184,107.50007537290419,112.97579510101653,118.45151482912888,123.92723455724122,129.2624212338919,134.5952259944161,139.9280307549403,145.2608355154645,150.5936402759887,155.9395422532374,161.53429134825154,166.77800247227722,171.89406342503435,177.01012437779144,182.12618533054857,187.2422462833057,192.3583072360628,197.4743681888199,202.497616399632,207.14961364266392,211.80161088569585,216.45360812872775,221.10560537175968,225.7576026147916,230.40959985782354,234.75236015142013,238.88896247872657,243.02556480603297,247.1621671333394,251.05192959069737,254.2011724382099,257.3504152857225,260.499658133235,263.64890098074756,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
5,6,Unlimited,"Courtney Martinez
Ryan Martinez
Morgan Kohut

TC Ryan Henk
TC Joyce Henk",315,0 days 02:43:00,0 days 06:38:00,0 days 10:14:00,0 days 15:01:00,0 days 21:52:00,1 days 03:58:00,1 days 05:25:00,1 days 13:10:00,1 days 19:54:00,2 days 00:01:00,2 days 05:07:00,Unlimited,['Courtney Martinez\nRyan Martinez\nMorgan Kohut\n\n'],['Ryan Henk\nTC Joyce Henk'],-2.823763907144894e-07,6.247038828776536,12.494077939929463,18.68272170800583,24.723659608300306,30.764597508594782,36.805535408889256,42.73095712588982,48.45685088992818,54.18274465396654,59.90863841800489,65.367281412745,70.74458721682912,76.12189302091325,81.49919882499736,86.8765046290815,92.28507977314806,97.6941849060279,103.10329003890773,108.51239517178757,113.9215003046674,119.33060543754723,124.71010984769943,129.89720956012187,135.08430927254432,140.27140898496677,145.4585086973892,150.64560840981164,155.82914777875723,160.90943718687353,165.92715936042083,170.90019065213312,175.87322194384544,180.84625323555773,185.81928452727,190.7923158189823,195.76534711069462,200.7383784024069,205.36711568914575,209.9269941748899,214.48687266063408,219.04675114637823,223.6066296321224,228.16650811786656,232.7075053167476,237.07857093386087,241.44963655097413,245.8207021680874,250.19176778520065,253.31077376601831,256.40855839706825,259.5063430281182,262.60412765916806,265.701912290218,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
6,7,Unlimited,"Andrew Davis
David Kaiser
Alex Leonard
Luke Zolnierowski
Matt Sandel

TC Jessica Davis
TC Anna Winder",1357,0 days 02:39:26,0 days 06:39:00,0 days 10:28:00,0 days 15:18:00,0 days 22:15:00,1 days 04:19:00,1 days 05:48:00,1 days 14:08:00,1 days 21:17:00,2 days 01:55:00,2 days 09:22:00,Unlimited,['Andrew Davis\nDavid Kaiser\nAlex Leonard\nLuke Zolnierowski\nMatt Sandel\n\n'],['Jessica Davis\nTC Anna Winder'],-2.823763907144894e-07,6.3867906968286725,12.773581676033736,19.002349830850594,24.92813419109493,30.85391855133927,36.779702911583605,42.52175780496207,47.92260083130393,53.323443857645785,58.724286883987645,64.08290883103388,69.40458733369644,74.726265836359,80.04794433902157,85.36962284168412,90.69801978991582,96.02929607196285,101.36057235400988,106.6918486360569,112.02312491810395,117.35440120015097,122.685677482198,127.93019674792944,133.14579700822233,138.36139726851522,143.57699752880814,148.79259778910102,154.0081980493939,159.05332395930145,163.95120826051382,168.57612736180624,173.2010464630987,177.8259655643911,182.45088466568356,187.07580376697598,191.70072286826843,196.32564196956085,200.9505610708533,205.28881474545116,209.5829660467114,213.87711734797162,218.17126864923185,222.4654199504921,226.75957125175233,231.05372255301256,235.0536774072761,238.9373220383084,242.82096666934066,246.70461130037296,250.44133813629523,252.56196922600725,254.68260031571927,256.8032314054313,258.92386249514334,261.0444935848554,263.1651246745674,265.28575576427943,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
7,8,Tandem Unlimited,"James Lowe
David Earnest

TC Cole Carter
TC Avery Carter",2424,0 days 02:42:00,0 days 06:38:00,0 days 10:14:00,0 days 14:58:00,0 days 21:40:00,1 days 03:18:00,1 days 04:11:00,1 days 12:53:00,1 days 19:58:00,2 days 01:32:00,2 days 11:38:00,Tandem Unlimited,['James Lowe\nDavid Earnest\n\n'],['Cole Carter\nTC Avery Carter'],-2.823763907144894e-07,6.285600798598468,12.571201879573326,18.77572484799624,24.791065553797942,30.806406259599644,36.821746965401346,42.73095712588982,48.45685088992818,54.18274465396654,59.90863841800489,65.41083001608794,70.84493834627153,76.27904667645514,81.71315500663874,87.15046654253378,92.68067104406018,98.21087554558657,103.74108004711297,109.27128454863937,114.80148905016577,120.33169355169215,125.89076331281491,131.50756359313033,137.12436387344576,142.7411641537612,148.35796443407662,153.97476471439205,161.49734489196373,166.64405707057668,171.0740562097457,175.50405534891468,179.9340544880837,184.36405362725267,188.79405276642166,193.22405190559067,197.65405104475968,202.07291641603285,206.407483258952,210.74205010187117,215.07661694479032,219.41118378770946,223.74575063062863,228.08031747354778,232.3781485761368,235.6106432091517,238.84313784216658,242.0756324751815,245.30812710819637,248.54062174121128,250.99459189088842,252.55881977389382,254.12304765689922,255.68727553990462,257.25150342291005,258.81573130591545,260.37995918892085,261.94418707192625,263.50841495493165,265.07264283793705,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
8,9,"Mixed Tandem Unlimited
1st Adult Youth","Holly Orr
William Orr

TC Andrew Nelson
TC Stahl Urban",357,0 days 03:00:00,0 days 07:20:00,0 days 11:24:00,0 days 16:52:00,1 days 00:44:00,1 days 07:53:00,1 days 10:02:00,1 days 22:23:00,2 days 05:56:00,2 days 10:32:00,2 days 16:16:00,Mixed Tandem Unlimited,['Holly Orr\nWilliam Orr\n\n'],['Andrew Nelson\nTC Stahl Urban'],-2.823763907144894e-07,5.657040690500982,11.314081663378355,16.97112263625573,22.43120112306035,27.891279609864974,33.3513580966696,38.81143658347422,44.01067873763391,49.079502725471144,54.14832671330838,59.21715070114561,64.06776584342467,68.77290842199828,73.47805100057188,78.1831935791455,82.8883361577191,87.59413266638504,92.30417972065118,97.01422677491729,101.72427382918343,106.43432088344956,111.14436793771569,115.85441499198181,120.56446204624794,125.19859196513967,129.62394976175182,134.04930755836398,138.47466535497614,142.9000231515883,147.32538094820046,151.7507387448126,156.05953299610204,159.4857746899479,162.9120163837938,166.04292830749512,169.16365644601902,172.28438458454292,175.40511272306685,178.52584086159075,181.64656900011465,184.76729713863858,187.88802527716248,191.00875341568639,194.1294815542103,197.25020969273422,200.37093783125812,204.0749823522362,208.1416289487939,212.20827554535163,216.27492214190931,220.34156873846703,224.40821533502472,228.47486193158244,232.5311845539317,236.44297153736278,240.35475852079384,244.26654550422492,248.17833248765598,251.5505597082202,254.30614719979366,257.0617346913671,259.81732218294064,262.5729096745141,265.3284971660876,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
9,10,Aluminum,"Joe Geisinger
Libby Geisinger

TC Curt Slaten
TC Mike Drost",54,0 days 03:13:00,0 days 07:44:00,0 days 11:51:00,0 days 17:19:00,1 days 01:06:00,1 days 07:43:00,1 days 09:26:00,1 days 18:59:00,2 days 01:56:00,2 days 06:27:00,2 days 16:54:00,Aluminum,['Joe Geisinger\nLibby Geisinger\n\n'],['Curt Slaten\nTC Mike Drost'],-2.823763907144894e-07,5.275996479892662,10.551993242161714,15.827990004430767,21.074576455982204,26.313028140739405,31.551479825496607,36.78993151025381,41.96673189881372,46.97399122283107,51.981250546848415,56.98850987086576,61.95045168306655,66.65559426164016,71.36073684021376,76.06587941878738,80.77102199736098,85.47616457593458,90.21911820526512,94.97959402884888,99.74006985243263,104.50054567601637,109.26102149960013,114.02149732318388,118.78197314676764,123.54244897035139,128.32235208236204,133.10441378197567,137.88647548158931,142.66853718120296,147.45059888081659,152.23266058043023,156.875621632565,161.1667398704885,165.31312451942844,169.34883054149861,173.38453656356882,177.420242585639,181.4559486077092,185.49165462977936,189.52736065184956,193.56306667391974,197.59877269598994,201.64084568436857,206.05856968494564,210.4762936855227,214.8940176860998,219.31174168667687,223.72946568725393,228.14718968783103,232.53599610003678,236.51995627504408,240.50391645005135,244.48787662505865,248.47183680006594,251.09612949031157,252.6079669657522,254.11980444119283,255.63164191663347,257.1434793920741,258.6553168675147,260.16715434295537,261.678991818396,263.19082929383666,264.70266676927724,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
