,,,,,,,,,,2018 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cheapside,,Cuero 236,,Victoria,,Swinging Bridge (off Canal Rd),,Saltwater Barrier,,Seadrift,,,,,,,,,,,,,,,,,,,,,,,,
1,1st Unlimited,"Andrew Condie
Nick Walton
Tommy Yonley
William Russell
Ian Rolls
Amado Cruz
TC Brooke Rolls
TC Jay Condie",150,9:00, ,11:03:00, ,14:01:00, ,16:46:00, ,20:15:00, ,0:53:00, ,4:08:00, ,5:59:00, ,11:05:00, ,15:12:00, ,17:46:00, ,21:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:03:00,1,2:58:00,1,2:45:00,2,3:29:00,1,4:38:00,2,3:15:00,2,1:51:00,2,5:06:00,1,4:07:00,1,2:34:00,3,3:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:03:00,1,5:01:00,1,7:46:00,1,11:15:00,1,15:53:00,1,19:08:00,1,20:59:00,1,26:05:00,1,30:12:00,1,32:46:00,1,36:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,"Clay Wyatt
Logan Mynar
Kyle Mynar
Fred Mynar
Michael Schlimmer
Ben Schlimmer
TC Brian Mynar
TC Jill Wyatt",123,9:00, ,11:06:00, ,14:06:00, ,16:52:00, ,20:19:00, ,1:03:00, ,4:18:00, ,6:06:00, ,11:09:00, ,15:37:00, ,18:33:00, ,21:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,2:06:00,2,3:00:00,2,2:46:00,1,3:27:00,2,4:44:00,1,3:15:00,1,1:48:00,1,5:03:00,2,4:28:00,2,2:56:00,1,3:17:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,2:06:00,2,5:06:00,2,7:52:00,2,11:19:00,2,16:03:00,2,19:18:00,2,21:06:00,2,26:09:00,2,30:37:00,2,33:33:00,2,36:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1st Tandem Unlimited
Masters","Jason Cade
Phil Bowden
TC Ron Henk
TC Jeff W Kellington",3930,9:00, ,11:38:00, ,15:24:00, ,18:50:00, ,23:07:00, ,4:51:00, ,8:47:00, ,11:03:00, ,17:58:00, ,23:05:00, ,2:42:00, ,6:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:38:00,5,3:46:00,4,3:26:00,3,4:17:00,4,5:44:00,4,3:56:00,4,2:16:00,5,6:55:00,3,5:07:00,6,3:37:00,4,4:04:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:38:00,5,6:24:00,5,9:50:00,5,14:07:00,4,19:51:00,4,23:47:00,4,26:03:00,4,32:58:00,4,38:05:00,4,41:42:00,3,45:46:00,,,,,,,,,,,,,,,,,,,,,,,
