,,,,,,,,,2004 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,
,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,
,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,
,Team Members,Staples,,Luling,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,,,,,,,
1,1ST UNLIMITED, ,11:06:00,,13:48:00,,16:32:00,,20:02:00,,0:17:00,,3:38:00,,4:53:00, ,9:08:00,,13:10:00,,15:39:00,,18:08:00,,,,,,
44,"PROCHASKA, SAMMY",1,2:06:00,1,2:42:00,1,2:44:00,1,3:30:00,1,4:15:00,1,3:01:00,1,1:35:00,1,4:15:00,1,4:02:00,3,2:29:00,1,2:29:00,,,,,,
,"DUNN, JOHN",1,2:06:00,1,4:48:00,1,7:32:00,1,11:02:00,1,15:17:00,1,18:18:00,1,19:53:00,1,24:08:00,1,28:10:00,1,30:39:00,1,33:08:00,,,,,,
,"MYNAR, JOE", , ,,,,,,,,,,,,, ,,,,,,,,,,,,,
,"MYNAR, BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"COCHRAN, JERRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"STEWART, CHUCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KLIMITCHEK, DARRELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2ND UNLIMITED-1st masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MAIKA, JOHN",,11:19:00,,14:19:00,,17:26:00,,21:29:00,,1:56:00,,5:01:00,,6:40:00,,11:23:00,,15:47:00,,18:31:00,,21:06:00,,,,,,
50,"BINION, PETE",3,2:19:00,5,3:00:00,4,3:07:00,4,4:03:00,2,4:27:00,2,3:05:00,2,1:39:00,3,4:43:00,3,4:24:00,5,2:44:00,3,2:35:00,,,,,,
,"SHERROD, VANCE",3,2:19:00,5,5:19:00,4,8:26:00,4,12:29:00,3,16:56:00,2,20:01:00,2,21:40:00,2,26:23:00,2,30:47:00,2,33:31:00,2,36:06:00,,,,,,
,"PETRISKY, PAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PYE, JIM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SHERROD, BILL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3RD UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,"HARRAS, JOHN MARK",,11:30:00,,14:33:00,,17:50:00,,22:05:00,,2:46:00,,6:04:00,,7:49:00,,12:38:00,,17:02:00,,19:23:00,,22:02:00,,,,,,
 ,"DANIEL, JAY",8,2:30:00,6,3:03:00,8,3:17:00,8,4:15:00,3,4:41:00,5,3:18:00,4,1:45:00,5,4:49:00,4,4:24:00,1,2:21:00,5,2:39:00,,,,,,
,"ZEEK, JONATHAN",8,2:30:00,7,5:33:00,7,8:50:00,7,13:05:00,6,17:46:00,6,21:04:00,5,22:49:00,5,27:38:00,5,32:02:00,3,34:23:00,3,37:02:00,,,,,,
,"YONLEY, JONATHAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"JACKSON, JEREMIAH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
